ColumnaX,ColumnaZ,ColumnaY
2.002,30.864,1
2.004,30.933,2
2.005,30.953,3
2.011,31.137,4
2.012,31.170,5
2.009,31.080,6
1.995,30.640,7
2.006,30.990,8
2.011,31.149,9
2.011,31.129,10
2.009,31.067,11
2.001,30.827,12
1.993,30.575,13
2.009,31.088,14
2.018,31.358,15
2.009,31.072,16
2.005,30.969,17
2.013,31.190,18
2.009,31.088,19
2.014,31.231,20
2.007,31.031,21
2.024,31.543,22
2.015,31.264,23
2.017,31.321,24
2.014,31.231,25
2.016,31.301,26
2.015,31.260,27
2.019,31.391,28
2.012,31.178,29
2.021,31.461,30
2.015,31.264,31
2.023,31.519,32
2.006,30.982,33
2.014,31.231,34
2.022,31.477,35
2.020,31.408,36
2.012,31.174,37
2.018,31.346,38
2.014,31.223,39
2.011,31.137,40
2.008,31.047,41
2.024,31.539,42
2.015,31.264,43
2.017,31.334,44
2.019,31.387,45
2.017,31.325,46
2.015,31.272,47
2.020,31.432,48
2.023,31.523,49
2.023,31.502,50
2.020,31.416,51
2.017,31.325,52
2.019,31.383,53
2.016,31.309,54
1.998,30.741,55
1.989,30.462,56
1.988,30.441,57
1.989,30.466,58
1.998,30.725,59
1.986,30.377,60
1.992,30.559,61
1.984,30.324,62
1.996,30.668,63
1.996,30.664,64
1.996,30.680,65
1.997,30.713,66
1.988,30.425,67
1.989,30.462,68
1.997,30.713,69
2.003,30.888,70
2.006,30.986,71
1.996,30.676,72
2.000,30.811,73
2.000,30.802,74
2.002,30.851,75
2.004,30.921,76
1.998,30.741,77
1.995,30.660,78
2.004,30.912,79
1.998,30.729,80
1.992,30.559,81
1.991,30.522,82
1.995,30.636,83
1.995,30.652,84
1.988,30.417,85
1.999,30.778,86
1.994,30.616,87
2.001,30.831,88
2.006,30.974,89
1.998,30.737,90
1.995,30.652,91
1.999,30.766,92
1.996,30.685,93
1.994,30.616,94
1.999,30.774,95
1.999,30.762,96
2.005,30.961,97
2.010,31.104,98
2.005,30.965,99
2.008,31.047,100
2.006,30.982,101
2.003,30.888,102
2.002,30.868,103
2.009,31.076,104
2.004,30.916,105
2.006,30.986,106
2.010,31.100,107
2.008,31.047,108
2.010,31.112,109
2.003,30.880,110
2.011,31.137,111
2.000,30.802,112
2.014,31.227,113
2.007,31.031,114
2.001,30.839,115
1.998,30.746,116
2.006,30.994,117
1.993,30.583,118
2.010,31.112,119
1.999,30.778,120
1.986,30.381,121
1.981,30.231,122
