ColumnaX,ColumnaZ,ColumnaY
2.121,34.651,1
2.133,35.023,2
2.121,34.625,3
2.111,34.298,4
2.119,34.573,5
2.112,34.362,6
2.096,33.831,7
2.103,34.054,8
2.100,33.972,9
2.083,33.406,10
2.099,33.938,11
2.007,31.006,12
2.007,31.031,13
2.000,30.811,14
2.027,31.642,15
2.025,31.572,16
2.022,31.473,17
2.002,30.864,18
2.005,30.961,19
2.063,32.778,20
2.032,31.799,21
2.034,31.845,22
2.090,33.627,23
2.087,33.538,24
2.090,33.640,25
2.086,33.504,26
2.085,33.466,27
2.089,33.610,28
2.093,33.746,29
2.087,33.534,30
2.084,33.428,31
2.085,33.466,32
2.076,33.182,33
2.081,33.347,34
2.087,33.529,35
2.086,33.495,36
2.084,33.440,37
2.078,33.237,38
2.077,33.203,39
2.081,33.339,40
2.068,32.934,41
2.085,33.474,42
2.066,32.875,43
2.058,32.619,44
2.064,32.803,45
2.072,33.060,46
2.071,33.018,47
2.070,32.992,48
2.071,33.018,49
2.076,33.174,50
2.075,33.144,51
2.065,32.849,52
2.069,32.955,53
2.076,33.182,54
2.071,33.030,55
2.062,32.744,56
2.060,32.686,57
2.063,32.761,58
2.063,32.757,59
2.082,33.385,60
2.071,33.018,61
2.065,32.841,62
2.067,32.887,63
2.056,32.548,64
2.066,32.858,65
2.066,32.866,66
2.076,33.191,67
2.079,33.296,68
2.072,33.051,69
2.070,33.005,70
2.064,32.795,71
2.074,33.123,72
2.070,32.980,73
2.065,32.841,74
2.063,32.770,75
2.069,32.955,76
2.063,32.774,77
2.075,33.165,78
2.070,32.984,79
2.068,32.917,80
2.064,32.812,81
2.064,32.791,82
2.069,32.967,83
2.073,33.081,84
2.073,33.102,85
2.071,33.013,86
2.078,33.246,87
2.084,33.453,88
2.074,33.136,89
2.083,33.406,90
2.078,33.263,91
2.077,33.203,92
2.078,33.250,93
2.083,33.398,94
2.079,33.271,95
2.070,32.980,96
2.083,33.423,97
2.084,33.428,98
2.086,33.521,99
2.081,33.343,100
2.080,33.326,101
2.084,33.440,102
2.074,33.127,103
2.077,33.229,104
2.071,33.013,105
2.076,33.178,106
2.070,33.001,107
2.072,33.068,108
2.069,32.959,109
2.073,33.081,110
2.072,33.056,111
2.074,33.110,112
2.069,32.946,113
2.071,33.022,114
2.064,32.799,115
2.071,33.035,116
2.068,32.938,117
2.070,33.001,118
2.066,32.866,119
2.067,32.908,120
2.071,33.022,121
2.067,32.891,122
2.066,32.858,123
2.070,32.997,124
2.068,32.942,125
2.070,32.980,126
2.071,33.026,127
2.073,33.094,128
2.078,33.250,129
2.078,33.246,130
2.077,33.229,131
2.071,33.018,132
2.076,33.174,133
2.063,32.774,134
2.074,33.123,135
2.075,33.157,136
2.076,33.199,137
2.074,33.136,138
2.083,33.406,139
2.069,32.971,140
2.082,33.385,141
2.075,33.165,142
2.071,33.013,143
2.075,33.165,144
2.070,32.980,145
2.070,33.005,146
2.074,33.132,147
2.075,33.148,148
2.069,32.971,149
2.070,32.992,150
2.070,32.980,151
2.072,33.051,152
2.077,33.224,153
2.064,32.807,154
2.075,33.148,155
2.077,33.220,156
2.071,33.018,157
2.073,33.085,158
2.063,32.786,159
2.082,33.381,160
2.076,33.195,161
2.066,32.866,162
2.070,32.988,163
2.065,32.828,164
2.073,33.098,165
2.072,33.072,166
2.064,32.812,167
2.074,33.127,168
2.060,32.677,169
2.072,33.047,170
2.069,32.946,171
2.068,32.917,172
2.055,32.527,173
2.069,32.967,174
2.069,32.950,175
2.060,32.677,176
2.064,32.812,177
2.071,33.018,178
2.073,33.081,179
2.069,32.976,180
2.058,32.619,181
2.065,32.820,182
2.070,32.988,183
2.071,33.026,184
2.057,32.594,185
2.056,32.548,186
2.064,32.803,187
2.059,32.652,188
2.062,32.749,189
2.058,32.627,190
2.056,32.556,191
2.052,32.426,192
2.056,32.548,193
2.051,32.385,194
2.040,32.031,195
2.042,32.114,196
2.044,32.185,197
2.043,32.135,198
2.041,32.073,199
2.040,32.056,200
2.047,32.268,201
2.038,31.990,202
2.042,32.118,203
2.042,32.097,204
2.038,31.969,205
2.046,32.239,206
2.042,32.118,207
2.047,32.260,208
2.041,32.073,209
2.040,32.035,210
2.040,32.031,211
2.040,32.052,212
2.044,32.172,213
2.036,31.919,214
2.037,31.952,215
2.041,32.077,216
2.041,32.081,217
2.038,31.981,218
2.038,31.981,219
2.041,32.060,220
2.039,32.027,221
2.030,31.733,222
2.040,32.039,223
2.030,31.737,224
2.040,32.048,225
2.035,31.890,226
2.030,31.745,227
2.039,32.014,228
2.037,31.940,229
2.038,31.990,230
2.045,32.189,231
2.045,32.206,232
2.029,31.696,233
2.035,31.882,234
2.034,31.857,235
2.040,32.052,236
2.042,32.114,237
2.039,32.002,238
2.050,32.360,239
2.047,32.251,240
