ColumnaX,ColumnaZ,ColumnaY
1.597,19.626,1
1.606,19.871,2
1.603,19.779,3
1.601,19.734,4
1.608,19.907,5
1.602,19.766,6
1.610,19.956,7
1.607,19.894,8
1.630,20.467,9
1.612,20.002,10
1.624,20.314,11
1.628,20.417,12
1.627,20.371,13
1.620,20.215,14
1.625,20.341,15
1.640,20.720,16
1.636,20.613,17
1.635,20.590,18
1.645,20.840,19
1.646,20.860,20
1.646,20.860,21
1.650,20.954,22
1.646,20.857,23
1.639,20.696,24
1.642,20.770,25
1.644,20.823,26
1.649,20.937,27
1.648,20.917,28
1.656,21.122,29
1.647,20.883,30
1.646,20.850,31
1.652,21.018,32
1.640,20.719,33
1.648,20.907,34
1.647,20.897,35
1.647,20.893,36
1.641,20.723,37
1.637,20.623,38
1.644,20.820,39
1.648,20.917,40
1.641,20.740,41
1.641,20.730,42
1.636,20.606,43
1.631,20.483,44
1.634,20.553,45
1.626,20.354,46
1.621,20.245,47
1.625,20.334,48
1.635,20.590,49
1.625,20.338,50
1.616,20.113,51
1.617,20.136,52
1.614,20.061,53
1.609,19.946,54
1.612,20.002,55
1.611,19.975,56
1.607,19.890,57
1.597,19.636,58
1.607,19.894,59
1.594,19.555,60
1.598,19.665,61
1.595,19.581,62
1.592,19.519,63
1.588,19.416,64
1.595,19.587,65
1.587,19.387,66
1.584,19.316,67
1.591,19.497,68
1.579,19.206,69
1.582,19.261,70
1.585,19.332,71
1.581,19.239,72
1.571,19.001,73
1.582,19.280,74
1.571,19.014,75
1.569,18.957,76
1.582,19.277,77
1.569,18.954,78
1.569,18.944,79
1.562,18.788,80
1.560,18.734,81
1.553,18.563,82
1.548,18.453,83
1.543,18.327,84
1.553,18.563,85
1.549,18.487,86
1.551,18.519,87
1.562,18.782,88
1.551,18.535,89
1.543,18.324,90
1.544,18.355,91
1.542,18.299,92
1.554,18.598,93
1.550,18.500,94
1.539,18.245,95
1.541,18.295,96
1.541,18.283,97
1.531,18.042,98
1.541,18.295,99
1.544,18.346,100
1.538,18.223,101
1.540,18.255,102
1.533,18.089,103
1.541,18.274,104
1.545,18.377,105
1.537,18.198,106
1.539,18.248,107
1.544,18.358,108
1.545,18.383,109
1.556,18.648,110
1.566,18.883,111
1.556,18.652,112
1.551,18.519,113
1.555,18.610,114
1.544,18.361,115
1.554,18.585,116
1.541,18.295,117
1.545,18.380,118
1.547,18.431,119
1.546,18.402,120
1.550,18.506,121
1.538,18.214,122
1.543,18.324,123
1.546,18.399,124
1.537,18.202,125
1.544,18.358,126
1.554,18.595,127
1.545,18.380,128
1.541,18.274,129
1.541,18.289,130
1.537,18.180,131
1.539,18.236,132
1.532,18.080,133
1.533,18.089,134
1.539,18.242,135
1.534,18.120,136
1.534,18.108,137
1.532,18.070,138
1.524,17.893,139
1.522,17.841,140
1.520,17.797,141
1.528,17.989,142
1.529,18.011,143
1.517,17.714,144
1.523,17.859,145
1.521,17.810,146
1.527,17.949,147
1.521,17.822,148
1.519,17.757,149
1.520,17.782,150
1.535,18.133,151
1.530,18.024,152
1.503,17.388,153
1.507,17.483,154
1.506,17.474,155
1.506,17.468,156
1.516,17.698,157
1.519,17.760,158
1.500,17.315,159
1.510,17.563,160
1.512,17.600,161
1.511,17.575,162
1.502,17.364,163
1.497,17.260,164
1.501,17.339,165
1.500,17.321,166
1.496,17.227,167
1.497,17.260,168
1.492,17.148,169
1.489,17.069,170
1.493,17.172,171
1.506,17.462,172
1.506,17.465,173
1.512,17.609,174
1.502,17.376,175
1.509,17.529,176
1.514,17.661,177
1.505,17.446,178
1.517,17.717,179
1.517,17.717,180
1.513,17.634,181
1.514,17.646,182
1.516,17.692,183
1.515,17.677,184
1.530,18.033,185
1.519,17.760,186
1.518,17.748,187
1.515,17.668,188
1.515,17.683,189
1.515,17.674,190
1.516,17.692,191
1.504,17.410,192
1.510,17.554,193
1.513,17.624,194
1.511,17.575,195
1.502,17.379,196
1.502,17.361,197
1.506,17.452,198
1.496,17.227,199
1.497,17.266,200
1.500,17.321,201
1.499,17.297,202
1.495,17.217,203
1.503,17.397,204
1.496,17.233,205
1.495,17.208,206
1.495,17.214,207
1.494,17.190,208
1.500,17.330,209
1.485,16.990,210
1.486,17.005,211
1.495,17.214,212
1.489,17.081,213
1.489,17.081,214
1.493,17.175,215
1.481,16.900,216
1.485,16.972,217
1.473,16.710,218
1.484,16.963,219
1.492,17.138,220
1.481,16.884,221
1.479,16.833,222
1.480,16.863,223
1.477,16.788,224
1.477,16.788,225
1.473,16.713,226
1.477,16.803,227
1.480,16.860,228
1.475,16.746,229
1.481,16.897,230
1.467,16.573,231
1.475,16.755,232
1.468,16.597,233
1.472,16.695,234
1.467,16.576,235
1.464,16.495,236
1.464,16.495,237
1.469,16.608,238
1.464,16.501,239
1.464,16.513,240
1.465,16.528,241
1.468,16.597,242
1.472,16.674,243
1.467,16.576,244
1.467,16.561,245
1.465,16.522,246
1.468,16.585,247
1.458,16.370,248
1.458,16.367,249
1.453,16.246,250
1.464,16.504,251
1.468,16.596,252
1.457,16.344,253
1.459,16.385,254
1.470,16.641,255
1.456,16.329,256
1.460,16.409,257
1.458,16.361,258
1.458,16.364,259
1.448,16.154,260
1.457,16.338,261
1.457,16.341,262
1.446,16.107,263
1.450,16.196,264
1.450,16.184,265
1.449,16.163,266
1.445,16.078,267
1.441,15.978,268
1.438,15.923,269
1.437,15.905,270
1.431,15.759,271
1.428,15.710,272
1.428,15.695,273
1.425,15.637,274
1.424,15.608,275
1.418,15.481,276
1.408,15.274,277
1.402,15.128,278
1.410,15.303,279
1.407,15.248,280
1.412,15.346,281
1.407,15.240,282
1.403,15.160,283
1.400,15.083,284
1.395,14.983,285
1.397,15.023,286
1.392,14.909,287
1.396,15.006,288
1.393,14.941,289
1.392,14.909,290
1.398,15.043,291
1.395,14.983,292
1.388,14.839,293
1.400,15.088,294
1.396,15.000,295
1.395,14.975,296
1.398,15.057,297
1.395,14.983,298
1.390,14.870,299
1.395,14.983,300
1.388,14.825,301
1.390,14.878,302
1.388,14.825,303
1.394,14.963,304
1.390,14.873,305
1.394,14.960,306
1.390,14.881,307
1.396,15.014,308
1.378,14.611,309
1.381,14.675,310
1.379,14.650,311
1.377,14.594,312
1.369,14.440,313
1.374,14.538,314
1.365,14.349,315
1.371,14.466,316
1.357,14.180,317
1.362,14.282,318
1.363,14.304,319
1.359,14.230,320
1.359,14.227,321
1.361,14.271,322
1.360,14.238,323
1.359,14.224,324
1.355,14.127,325
1.352,14.070,326
1.349,14.015,327
1.350,14.037,328
1.350,14.039,329
1.354,14.114,330
1.358,14.199,331
1.344,13.919,332
1.356,14.155,333
1.355,14.136,334
1.358,14.191,335
1.352,14.072,336
1.352,14.070,337
1.352,14.078,338
1.354,14.114,339
1.359,14.216,340
1.361,14.257,341
1.353,14.097,342
1.348,13.984,343
1.345,13.938,344
1.346,13.949,345
1.339,13.810,346
1.340,13.823,347
1.345,13.935,348
1.336,13.739,349
1.341,13.848,350
1.337,13.774,351
1.344,13.908,352
1.336,13.747,353
1.329,13.606,354
1.328,13.571,355
1.325,13.525,356
1.328,13.576,357
1.327,13.557,358
1.329,13.601,359
1.332,13.666,360
1.334,13.693,361
1.327,13.552,362
1.319,13.399,363
1.325,13.517,364
1.320,13.412,365
1.315,13.313,366
1.312,13.249,367
1.318,13.366,368
1.311,13.225,369
1.310,13.217,370
1.309,13.198,371
1.297,12.944,372
1.303,13.079,373
1.295,12.917,374
1.312,13.262,375
1.297,12.959,376
1.291,12.836,377
1.288,12.781,378
1.281,12.642,379
1.285,12.715,380
1.289,12.791,381
1.282,12.647,382
1.287,12.754,383
1.288,12.770,384
1.284,12.692,385
1.286,12.733,386
1.284,12.686,387
1.276,12.533,388
1.272,12.468,389
1.273,12.486,390
1.272,12.468,391
1.275,12.510,392
1.277,12.554,393
1.278,12.582,394
1.272,12.453,395
1.267,12.367,396
1.271,12.437,397
1.270,12.414,398
1.264,12.298,399
1.260,12.218,400
1.264,12.295,401
1.263,12.290,402
1.274,12.494,403
1.252,12.070,404
1.249,12.004,405
1.259,12.200,406
1.246,11.951,407
1.244,11.923,408
1.246,11.958,409
1.247,11.976,410
1.244,11.910,411
1.234,11.719,412
1.239,11.814,413
1.233,11.714,414
1.232,11.686,415
1.221,11.474,416
1.228,11.608,417
1.230,11.646,418
1.222,11.504,419
1.218,11.414,420
1.233,11.704,421
1.221,11.484,422
1.218,11.414,423
1.217,11.409,424
1.220,11.464,425
1.222,11.491,426
1.222,11.494,427
1.218,11.417,428
1.213,11.338,429
1.211,11.298,430
1.213,11.321,431
1.215,11.375,432
1.213,11.323,433
1.217,11.402,434
1.210,11.269,435
1.209,11.259,436
1.207,11.225,437
1.205,11.178,438
1.204,11.171,439
1.202,11.126,440
1.209,11.259,441
1.198,11.044,442
1.210,11.269,443
1.207,11.210,444
1.205,11.178,445
1.198,11.058,446
1.206,11.198,447
1.203,11.136,448
1.205,11.180,449
1.203,11.146,450
1.200,11.085,451
1.190,10.910,452
1.199,11.070,453
1.192,10.937,454
1.194,10.971,455
1.197,11.034,456
1.202,11.134,457
1.191,10.929,458
1.195,11.002,459
1.192,10.941,460
1.183,10.768,461
1.181,10.731,462
1.183,10.784,463
1.188,10.866,464
1.187,10.857,465
1.184,10.789,466
1.177,10.672,467
1.170,10.547,468
1.180,10.729,469
1.177,10.669,470
1.169,10.516,471
1.160,10.365,472
1.165,10.443,473
1.168,10.509,474
1.166,10.474,475
1.161,10.372,476
1.173,10.593,477
1.161,10.381,478
1.160,10.355,479
1.161,10.384,480
1.161,10.384,481
1.147,10.135,482
1.147,10.130,483
1.152,10.224,484
1.151,10.207,485
1.148,10.149,486
1.146,10.121,487
1.146,10.121,488
1.136,9.935,489
1.141,10.023,490
1.123,9.717,491
1.128,9.799,492
1.118,9.632,493
1.125,9.742,494
1.127,9.774,495
1.128,9.790,496
1.120,9.657,497
1.120,9.660,498
1.112,9.526,499
1.107,9.435,500
1.102,9.357,501
1.112,9.517,502
1.100,9.323,503
1.102,9.350,504
1.107,9.433,505
1.107,9.435,506
1.095,9.236,507
1.093,9.205,508
1.097,9.265,509
1.095,9.241,510
1.084,9.052,511
1.088,9.112,512
1.093,9.194,513
1.089,9.134,514
1.080,8.988,515
1.086,9.085,516
1.083,9.028,517
1.085,9.072,518
1.078,8.947,519
1.085,9.057,520
1.079,8.973,521
1.076,8.912,522
1.074,8.879,523
1.071,8.833,524
1.074,8.883,525
1.067,8.763,526
1.062,8.690,527
1.065,8.737,528
1.061,8.672,529
1.054,8.561,530
1.058,8.621,531
1.062,8.677,532
1.063,8.694,533
1.063,8.698,534
1.054,8.554,535
1.050,8.496,536
1.046,8.432,537
1.041,8.341,538
1.039,8.320,539
1.040,8.322,540
1.036,8.257,541
1.041,8.339,542
1.032,8.193,543
1.035,8.252,544
1.027,8.124,545
1.029,8.160,546
1.023,8.060,547
1.029,8.160,548
1.015,7.927,549
1.020,8.012,550
1.020,8.006,551
1.024,8.068,552
1.016,7.952,553
1.010,7.859,554
1.015,7.925,555
1.003,7.740,556
1.008,7.824,557
1.003,7.740,558
1.010,7.849,559
1.001,7.716,560
0.996,7.635,561
0.998,7.665,562
0.989,7.532,563
0.987,7.500,564
0.979,7.376,565
0.986,7.492,566
0.986,7.491,567
0.982,7.427,568
0.984,7.453,569
0.982,7.423,570
0.971,7.259,571
0.977,7.350,572
0.970,7.247,573
0.973,7.292,574
0.963,7.139,575
0.969,7.235,576
0.971,7.253,577
0.968,7.213,578
0.958,7.060,579
0.957,7.051,580
0.955,7.029,581
0.953,6.989,582
0.961,7.109,583
0.949,6.940,584
0.952,6.977,585
0.947,6.909,586
0.941,6.821,587
0.945,6.882,588
0.947,6.902,589
0.943,6.854,590
0.937,6.762,591
0.936,6.752,592
0.932,6.695,593
0.931,6.680,594
0.928,6.631,595
0.928,6.635,596
0.917,6.471,597
0.911,6.384,598
0.886,6.041,599
0.867,5.791,600
0.828,5.284,601
0.801,4.936,602
0.760,4.445,603
0.739,4.209,604
0.705,3.829,605
0.672,3.476,606
0.630,3.053,607
0.601,2.782,608
0.570,2.498,609
0.541,2.256,610
0.521,2.087,611
0.502,1.939,612
0.479,1.767,613
0.468,1.685,614
0.452,1.576,615
0.404,1.260,616
0.380,1.114,617
0.359,0.995,618
0.321,0.792,619
0.308,0.732,620
0.278,0.595,621
0.258,0.511,622
0.250,0.481,623
0.242,0.452,624
0.230,0.406,625
0.226,0.393,626
0.214,0.351,627
0.210,0.340,628
0.203,0.317,629
0.207,0.331,630
0.205,0.323,631
0.204,0.322,632
0.198,0.301,633
0.182,0.255,634
0.177,0.241,635
0.166,0.212,636
0.167,0.214,637
0.165,0.209,638
0.165,0.209,639
0.158,0.193,640
0.151,0.175,641
0.158,0.193,642
0.153,0.181,643
0.153,0.180,644
0.147,0.167,645
0.147,0.166,646
0.149,0.171,647
0.150,0.173,648
0.141,0.153,649
0.148,0.170,650
0.143,0.158,651
0.146,0.165,652
0.142,0.155,653
0.143,0.156,654
0.137,0.145,655
0.136,0.142,656
0.139,0.149,657
0.144,0.159,658
0.139,0.148,659
0.139,0.149,660
0.143,0.158,661
0.135,0.140,662
0.136,0.143,663
0.133,0.136,664
0.131,0.133,665
0.131,0.132,666
0.135,0.140,667
0.137,0.145,668
0.128,0.127,669
0.120,0.112,670
0.118,0.108,671
0.120,0.112,672
0.114,0.101,673
0.117,0.105,674
0.152,0.177,675
0.800,4.928,676
0.794,4.858,677
0.795,4.866,678
0.795,4.861,679
0.796,4.881,680
0.795,4.861,681
0.788,4.784,682
0.795,4.873,683
0.789,4.797,684
0.792,4.827,685
0.795,4.868,686
0.781,4.698,687
0.786,4.754,688
0.781,4.695,689
0.782,4.714,690
0.777,4.644,691
0.781,4.701,692
0.775,4.622,693
0.776,4.633,694
0.767,4.529,695
0.777,4.647,696
0.769,4.548,697
0.767,4.526,698
0.776,4.636,699
0.771,4.575,700
0.765,4.503,701
0.756,4.404,702
0.749,4.318,703
0.749,4.317,704
0.744,4.259,705
0.737,4.185,706
0.737,4.188,707
0.729,4.087,708
0.725,4.050,709
0.726,4.063,710
0.705,3.831,711
0.697,3.744,712
0.679,3.550,713
0.665,3.404,714
0.648,3.238,715
0.633,3.082,716
0.619,2.952,717
0.607,2.839,718
0.600,2.771,719
0.583,2.620,720
0.571,2.506,721
0.554,2.366,722
0.546,2.298,723
0.528,2.149,724
0.518,2.068,725
0.508,1.988,726
0.494,1.875,727
0.487,1.829,728
0.476,1.745,729
0.466,1.674,730
0.457,1.607,731
0.452,1.570,732
0.441,1.497,733
0.443,1.512,734
0.434,1.453,735
0.432,1.435,736
0.412,1.310,737
0.419,1.352,738
0.419,1.349,739
0.408,1.279,740
0.402,1.244,741
0.406,1.270,742
0.405,1.265,743
0.395,1.204,744
0.385,1.141,745
0.392,1.181,746
0.391,1.177,747
0.381,1.120,748
0.381,1.116,749
0.369,1.051,750
0.375,1.083,751
0.372,1.065,752
0.369,1.046,753
0.355,0.972,754
0.346,0.922,755
0.340,0.890,756
0.334,0.859,757
0.326,0.816,758
0.296,0.677,759
0.291,0.651,760
0.263,0.533,761
0.264,0.535,762
0.250,0.479,763
0.237,0.432,764
0.225,0.392,765
0.221,0.377,766
0.208,0.333,767
0.194,0.291,768
0.185,0.265,769
0.185,0.263,770
0.182,0.255,771
0.179,0.247,772
0.169,0.220,773
0.162,0.202,774
0.147,0.167,775
0.139,0.148,776
0.138,0.146,777
0.126,0.123,778
0.112,0.096,779
0.108,0.089,780
0.112,0.096,781
0.107,0.088,782
0.104,0.083,783
0.097,0.073,784
0.098,0.074,785
0.097,0.073,786
0.087,0.059,787
0.082,0.052,788
0.091,0.063,789
0.090,0.062,790
0.086,0.057,791
0.096,0.070,792
0.082,0.052,793
0.083,0.053,794
0.081,0.051,795
0.085,0.055,796
0.086,0.057,797
0.086,0.057,798
0.087,0.058,799
0.081,0.051,800
0.076,0.045,801
0.079,0.048,802
0.087,0.058,803
0.080,0.050,804
0.077,0.046,805
0.081,0.050,806
0.072,0.039,807
0.087,0.059,808
0.080,0.049,809
0.082,0.051,810
0.074,0.042,811
0.078,0.047,812
0.063,0.031,813
0.072,0.040,814
0.074,0.042,815
0.072,0.040,816
0.080,0.049,817
